PM2.5,PM10,O3,NO2,CO,SO2,AQI
132.9,95.68,7.0,26.27,2.6399999999999997,25.39,118.0
61.06,95.68,19.54,14.03,2.6399999999999997,8.08,126.0
39.42,95.68,31.3,19.56,2.6399999999999997,17.66,175.0
111.86,95.68,31.23,22.51,2.6399999999999997,15.84,226.0
58.37,95.68,43.92,21.71,2.6399999999999997,25.39,244.0
95.37,95.68,41.64,26.23,2.6399999999999997,13.59,315.0
132.9,95.68,37.66,36.88,2.6399999999999997,25.39,678.0
106.68,95.68,48.49,46.38,2.6399999999999997,25.39,774.0
109.48,95.68,31.34,20.27,2.6399999999999997,25.39,285.0
126.04,95.68,28.71,20.18,2.6399999999999997,25.39,321.0
71.22,95.68,28.39,21.32,2.6399999999999997,25.39,358.0
97.87,95.68,34.16,17.96,2.6399999999999997,13.85,357.0
63.38,95.68,43.62,13.28,2.6399999999999997,24.79,189.0
75.29,95.68,60.71,14.29,2.6399999999999997,25.39,118.0
80.9,95.68,22.8,18.62,2.6399999999999997,25.39,214.0
103.29,95.68,22.18,19.82,2.6399999999999997,25.39,253.0
107.5,95.68,10.12,15.56,2.6399999999999997,25.39,239.0
132.9,95.68,59.73,14.77,2.6399999999999997,25.39,118.0
102.58,95.68,26.89,12.74,2.6399999999999997,25.39,118.0
132.9,95.68,27.18,16.7,2.6399999999999997,25.39,300.0
129.04,95.68,18.67,14.86,2.6399999999999997,25.39,317.0
96.65,95.68,11.83,15.9,2.6399999999999997,25.39,240.0
126.77,95.68,36.71,23.93,2.6399999999999997,25.39,344.0
106.15,95.68,75.715,23.02,2.6399999999999997,25.39,503.0
86.31,95.68,75.715,10.5,2.6399999999999997,25.39,308.0
83.99,95.68,69.57,0.08,2.6399999999999997,25.39,227.0
65.11,95.68,32.26,4.58,2.6399999999999997,22.27,120.0
51.03,95.68,31.44,20.47,2.6399999999999997,15.5,158.0
38.73,95.68,25.7,19.28,2.6399999999999997,20.13,177.0
61.12,95.68,25.9,17.82,2.6399999999999997,25.39,201.0
58.44,95.68,18.89,17.24,2.6399999999999997,25.39,211.0
61.49,95.68,18.2,16.69,2.6399999999999997,25.39,221.0
65.39,95.68,22.35,16.08,2.6399999999999997,25.39,233.0
100.92,95.68,22.84,18.9,2.6399999999999997,25.39,481.0
97.48,95.68,16.26,30.02,2.6399999999999997,25.39,352.0
129.27,95.68,25.4,28.33,2.6399999999999997,25.39,327.0
129.58,95.68,34.42,28.79,2.6399999999999997,17.66,577.0
100.57,95.68,38.83,18.79,2.6399999999999997,25.39,411.0
130.34,95.68,29.05,17.43,2.6399999999999997,25.39,212.0
53.24,95.68,21.58,15.86,2.6399999999999997,25.39,280.0
42.0,95.68,25.5,18.16,2.6399999999999997,17.0,162.0
50.1,95.68,12.91,14.9,2.6399999999999997,25.39,118.0
83.69,95.68,35.61,17.18,2.6399999999999997,25.39,569.0
38.88,95.68,12.47,16.28,2.18,25.39,128.0
46.89,95.68,10.74,16.17,2.6399999999999997,25.39,129.0
70.96,95.68,16.01,15.47,2.6399999999999997,23.67,152.0
53.66,95.68,45.64,14.43,2.6399999999999997,14.46,176.0
45.49,95.68,71.85,13.73,2.6399999999999997,12.85,167.0
60.86,95.68,41.19,16.61,2.6399999999999997,14.91,106.0
51.93,95.68,12.88,17.87,2.6399999999999997,15.33,231.0
